cycle,beban_paling_negatif
0,-125.87
1,-125.45
2,-124.21
3,-122.81
4,-121.76
5,-120.56
6,-119.66
7,-118.65
8,-117.71
9,-116.82
10,-116.01
11,-115.08
12,-114.33
13,-113.46
14,-112.8
15,-112.05
16,-111.38
17,-110.71
18,-110.0
19,-109.38
20,-108.8
21,-108.18
22,-107.45
23,-106.88
24,-106.32
25,-105.79
26,-105.08
27,-104.55
28,-104.0
29,-103.45
30,-102.94
31,-102.22
32,-101.75
33,-101.14
34,-100.59
35,-100.07
36,-99.61
37,-99.09
38,-98.56
39,-98.08
40,-97.61
41,-97.13
42,-96.54
43,-96.06
44,-95.62
45,-95.18
46,-94.64
47,-94.17
48,-93.76
49,-93.26
50,-92.93
51,-92.31
52,-91.98
53,-91.48
54,-91.11
55,-90.57
56,-90.27
57,-89.68
58,-89.41
59,-89.05
60,-88.44
61,-88.06
62,-87.61
63,-87.25
64,-86.93
65,-86.41
66,-85.97
67,-85.68
68,-85.19
69,-84.83
70,-84.42
71,-83.97
72,-84.11
73,-86.67
74,-89.08
75,-91.57
76,-93.83
77,-96.0
78,-98.28
79,-100.52
80,-102.66
81,-104.6
82,-106.7
83,-108.53
84,-110.44
85,-112.23
86,-113.95
87,-115.66
88,-117.27
89,-118.89
90,-120.57
91,-122.1
92,-123.72
93,-125.34
94,-126.69
95,-126.27
96,-124.8
97,-123.69
98,-122.64
99,-121.64
100,-120.54
101,-119.49
102,-118.61
103,-117.86
104,-116.81
105,-116.06
106,-115.3
107,-114.61
108,-113.9
109,-113.27
110,-112.53
111,-111.85
112,-111.12
113,-110.51
114,-109.92
115,-109.21
116,-108.61
117,-108.1
118,-107.45
119,-106.78
120,-106.18
121,-105.63
122,-105.01
123,-104.42
124,-103.89
125,-103.22
126,-102.75
127,-102.19
128,-101.68
129,-101.12
130,-100.53
131,-100.05
132,-99.52
133,-99.06
134,-98.53
135,-98.0
136,-97.54
137,-96.98
138,-96.54
139,-96.0
140,-95.53
141,-95.06
142,-94.61
143,-94.12
144,-93.71
145,-93.27
146,-92.86
147,-92.44
148,-91.93
149,-91.39
150,-91.12
151,-90.57
152,-90.18
153,-89.78
154,-89.25
155,-88.9
156,-88.5
157,-88.03
158,-87.66
159,-87.21
160,-86.89
161,-86.47
162,-86.09
163,-85.65
164,-85.33
165,-84.91
166,-84.55
167,-84.04
168,-83.75
169,-85.26
170,-87.83
171,-90.19
172,-92.59
173,-94.76
174,-96.98
175,-99.17
176,-101.36
177,-103.44
178,-105.33
179,-107.36
180,-109.26
181,-111.16
182,-112.84
183,-114.51
184,-116.22
185,-117.77
186,-119.36
187,-120.98
188,-122.58
189,-124.11
190,-125.61
191,-126.34
192,-125.82
193,-124.47
194,-123.45
195,-122.34
196,-121.18
197,-120.29
198,-119.22
199,-118.35
200,-117.44
201,-116.56
202,-115.83
203,-115.02
204,-114.31
205,-113.62
206,-112.96
207,-112.24
208,-111.56
209,-110.95
210,-110.18
211,-109.57
212,-109.0
213,-108.28
214,-107.73
215,-107.1
216,-106.6
217,-105.97
218,-105.37
219,-104.69
220,-104.11
221,-103.56
222,-103.02
223,-102.48
224,-101.92
225,-101.37
226,-100.89
227,-100.32
228,-99.79
229,-99.34
230,-98.84
231,-98.3
232,-97.73
233,-97.24
234,-96.82
235,-96.25
236,-95.81
237,-95.46
238,-94.88
239,-94.35
240,-93.93
241,-93.45
242,-92.97
243,-92.62
244,-92.23
245,-91.69
246,-91.25
247,-90.76
248,-90.32
249,-89.93
250,-89.47
251,-89.03
252,-88.75
253,-88.27
254,-87.9
255,-87.42
256,-87.03
257,-86.6
258,-86.2
259,-85.8
260,-85.46
261,-85.06
262,-84.65
263,-84.3
264,-83.93
265,-83.67
266,-86.24
267,-88.59
268,-91.06
269,-93.31
270,-95.48
271,-97.75
272,-99.96
273,-102.1
274,-104.09
275,-106.1
276,-107.99
277,-109.76
278,-111.63
279,-113.18
280,-115.04
281,-116.63
282,-118.24
283,-119.98
284,-121.5
285,-122.9
286,-124.47
287,-126.03
288,-125.63
289,-125.1
290,-123.86
291,-122.68
292,-121.6
293,-120.64
294,-119.47
295,-118.8
296,-117.72
297,-116.81
298,-115.92
299,-115.26
300,-114.49
301,-113.68
302,-113.12
303,-112.45
304,-111.7
305,-111.14
306,-110.3
307,-109.81
308,-109.07
309,-108.54
310,-107.91
311,-107.2
312,-106.61
313,-106.04
314,-105.5
315,-104.77
316,-104.3
317,-103.71
318,-103.1
319,-102.63
320,-102.0
321,-101.51
322,-100.98
323,-100.43
324,-100.03
325,-99.38
326,-98.85
327,-98.25
328,-97.79
329,-97.32
330,-97.0
331,-96.35
332,-95.91
333,-95.44
334,-94.93
335,-94.4
336,-93.93
337,-93.6
338,-93.09
339,-92.62
340,-92.33
341,-91.72
342,-91.29
343,-90.94
344,-90.45
345,-89.96
346,-89.57
347,-89.18
348,-88.74
349,-88.43
350,-87.9
351,-87.4
352,-87.09
353,-86.69
354,-86.26
355,-85.94
356,-85.54
357,-85.16
358,-84.7
359,-84.33
360,-83.92
361,-83.53
362,-83.46
363,-86.09
364,-88.64
365,-90.86
366,-93.24
367,-95.27
368,-97.55
369,-99.8
370,-101.93
371,-104.05
372,-105.96
373,-107.76
374,-109.54
375,-111.34
376,-113.11
377,-114.83
378,-116.42
379,-118.03
380,-119.47
381,-121.11
382,-122.73
383,-124.19
384,-125.7
385,-126.19
386,-125.69
387,-124.43
388,-123.15
389,-122.12
390,-121.2
391,-120.11
392,-119.16
393,-118.22
394,-117.2
395,-116.47
396,-115.65
397,-114.83
398,-114.03
399,-113.3
400,-112.59
401,-111.91
402,-111.34
403,-110.69
404,-110.04
405,-109.34
406,-108.83
407,-108.01
408,-107.46
409,-106.91
410,-106.45
411,-105.69
412,-105.15
413,-104.53
414,-104.05
415,-103.47
416,-102.91
417,-102.3
418,-101.77
419,-101.22
420,-100.85
421,-100.22
422,-99.76
423,-99.14
424,-98.65
425,-98.07
426,-97.54
427,-97.16
428,-96.61
429,-96.12
430,-95.62
431,-95.17
432,-94.66
433,-94.13
434,-93.76
435,-93.27
436,-92.94
437,-92.48
438,-91.94
439,-91.52
440,-91.14
441,-90.55
442,-90.19
443,-89.7
444,-89.35
445,-88.97
446,-88.52
447,-88.2
448,-87.83
449,-87.22
450,-86.86
451,-86.42
452,-86.05
453,-85.6
454,-85.27
455,-84.82
456,-84.58
457,-84.1
458,-84.05
459,-86.61
460,-89.11
461,-91.52
462,-93.74
463,-95.96
464,-98.12
465,-100.28
466,-102.47
467,-104.46
468,-106.4
469,-108.22
470,-110.12
471,-111.83
472,-113.51
473,-115.14
474,-116.88
475,-118.42
476,-119.94
477,-121.6
478,-123.17
479,-124.6
480,-125.96
481,-125.68
482,-124.93
483,-123.62
484,-122.64
485,-121.47
486,-120.38
487,-119.45
488,-118.51
489,-117.65
490,-116.81
491,-115.86
492,-115.04
493,-114.35
494,-113.58
495,-112.79
496,-112.17
497,-111.48
498,-110.92
499,-110.23
500,-109.6
501,-108.84
502,-108.3
503,-107.67
504,-107.15
505,-106.51
506,-105.91
507,-105.28
508,-104.8
509,-104.06
510,-103.52
511,-102.95
512,-102.49
513,-101.85
514,-101.44
515,-100.96
516,-100.27
517,-99.73
518,-99.28
519,-98.78
520,-98.27
521,-97.71
522,-97.26
523,-96.7
524,-96.22
525,-95.72
526,-95.32
527,-94.78
528,-94.35
529,-93.79
530,-93.5
531,-92.97
532,-92.56
533,-92.08
534,-91.58
535,-91.25
536,-90.74
537,-90.35
538,-89.85
539,-89.45
540,-89.0
541,-88.68
542,-88.28
543,-87.73
544,-87.45
545,-87.02
546,-86.54
547,-86.1
548,-85.77
549,-85.39
550,-85.01
551,-84.6
552,-84.2
553,-83.79
554,-83.53
555,-83.27
556,-85.72
557,-88.2
558,-90.48
559,-92.87
560,-95.14
561,-97.43
562,-99.57
563,-101.78
564,-103.71
565,-105.69
566,-107.54
567,-109.29
568,-111.0
569,-112.78
570,-114.42
571,-116.18
572,-117.6
573,-119.25
574,-120.78
575,-122.4
576,-123.91
577,-125.31
578,-126.46
579,-125.97
580,-124.62
581,-123.39
582,-122.23
583,-121.24
584,-120.17
585,-119.13
586,-118.26
587,-117.35
588,-116.52
589,-115.61
590,-114.89
591,-114.14
592,-113.37
593,-112.67
594,-111.95
595,-111.38
596,-110.71
597,-110.03
598,-109.33
599,-108.71
600,-108.05
601,-107.48
602,-106.86
603,-106.37
604,-105.77
605,-105.15
606,-104.52
607,-103.97
608,-103.46
609,-102.92
610,-102.24
611,-101.75
612,-101.24
613,-100.77
614,-100.08
615,-99.64
616,-99.14
617,-98.59
618,-98.09
619,-97.56
620,-97.13
621,-96.64
622,-96.17
623,-95.63
624,-95.13
625,-94.68
626,-94.24
627,-93.73
628,-93.3
629,-92.86
630,-92.47
631,-92.03
632,-91.44
633,-91.06
634,-90.69
635,-90.14
636,-89.7
637,-89.45
638,-88.95
639,-88.41
640,-88.05
641,-87.69
642,-87.22
643,-86.92
644,-86.46
645,-86.0
646,-85.68
647,-85.2
648,-84.83
649,-84.5
650,-83.99
651,-83.56
652,-85.06
653,-87.63
654,-89.95
655,-92.43
656,-94.69
657,-96.94
658,-99.14
659,-101.35
660,-103.37
661,-105.32
662,-107.24
663,-109.01
664,-110.9
665,-112.67
666,-114.31
667,-115.94
668,-117.53
669,-119.22
670,-120.62
671,-122.23
672,-123.75
673,-125.2
674,-126.53
675,-126.07
676,-124.55
677,-123.43
678,-122.38
679,-121.29
680,-120.19
681,-119.23
682,-118.35
683,-117.44
684,-116.49
685,-115.54
686,-114.84
687,-114.04
688,-113.32
689,-112.52
690,-111.98
691,-111.27
692,-110.68
693,-110.11
694,-109.31
695,-108.69
696,-108.1
697,-107.46
698,-106.78
699,-106.3
700,-105.66
701,-105.07
702,-104.51
703,-103.96
704,-103.5
705,-102.87
706,-102.31
707,-101.77
708,-101.18
709,-100.72
710,-100.12
711,-99.54
712,-99.14
713,-98.53
714,-98.05
715,-97.5
716,-97.09
717,-96.64
718,-96.11
719,-95.7
720,-95.13
721,-94.69
722,-94.18
723,-93.87
724,-93.21
725,-92.8
726,-92.43
727,-91.99
728,-91.51
729,-91.02
730,-90.51
731,-90.18
732,-89.96
733,-89.36
734,-89.01
735,-88.42
736,-88.06
737,-87.61
738,-87.22
739,-86.71
740,-86.43
741,-86.06
742,-85.66
743,-85.24
744,-84.84
745,-84.56
746,-83.96
747,-83.69
748,-83.27
749,-85.2
750,-87.78
751,-90.17
752,-92.54
753,-94.84
754,-97.11
755,-99.27
756,-101.43
757,-103.3
758,-105.34
759,-107.15
760,-108.89
761,-110.79
762,-112.45
763,-114.19
764,-115.84
765,-117.46
766,-118.89
767,-120.52
768,-121.98
769,-123.62
770,-125.04
771,-126.41
772,-126.0
773,-124.88
774,-123.52
775,-122.46
776,-121.44
777,-120.4
778,-119.35
779,-118.48
780,-117.52
781,-116.65
782,-115.79
783,-114.93
784,-114.33
785,-113.44
786,-112.79
787,-67.92
788,-1.22
789,-1.3
790,-1.37
791,-1.53
792,-1.41
793,-1.43
794,-1.5
795,-1.58
796,-1.53
797,-1.57
798,-1.59
799,-1.62
800,-1.59
801,-1.63
802,-1.61
803,-1.72
804,-1.74
805,-1.6
806,-1.67
807,-1.65
808,-1.7
809,-1.71
810,-1.72
811,-1.74
812,-1.74
813,-1.72
814,-1.76
815,-1.81
816,-1.78
817,-1.79
818,-1.82
819,-1.8
820,-1.74
821,-1.74
822,-1.75
823,-1.8
824,-1.74
825,-1.78
826,-1.78
827,-1.8
828,-1.78
829,-1.88
830,-1.76
831,-1.83
832,-1.79
833,-1.75
834,-1.87
835,-1.77
836,-1.81
837,-1.84
838,-2.18
839,-2.1
840,-2.1
841,-2.12
842,-2.13
843,-2.11
844,-2.12
845,-2.15
846,-2.1
847,-2.16
848,-2.15
849,-2.13
850,-2.13
851,-2.14
852,-2.17
853,-2.12
854,-2.16
855,-2.15
856,-2.18
857,-2.19
858,-2.15
859,-2.14
860,-2.13
861,-2.18
862,-2.17
863,-2.15
864,-2.17
865,-2.2
866,-2.18
867,-2.25
868,-2.22
869,-2.27
870,-2.19
871,-2.3
872,-2.24
873,-2.12
874,-2.19
875,-2.2
876,-2.27
877,-2.16
878,-2.16
879,-2.07
880,-2.01
881,-2.03
882,-2.02
883,-2.04
884,-2.05
885,-2.08
886,-2.07
887,-2.07
888,-2.1
889,-2.06
890,-2.1
891,-2.07
892,-2.1
893,-2.11
894,-2.12
895,-2.09
896,-2.09
897,-2.14
898,-2.22
899,-2.2
900,-1.83
901,-1.88
902,-1.88
903,-1.9
904,-1.88
905,-1.88
906,-1.88
907,-1.9
908,-1.92
909,-1.92
910,-1.94
911,-1.93
912,-1.92
913,-1.9
914,-1.93
915,-1.94
916,-1.95
917,-1.92
918,-1.91
919,-1.9
920,-1.92
921,-1.87
922,-1.98
923,-2.0
924,-2.02
925,-2.01
926,-2.0
927,-2.0
928,-2.0
929,-1.99
930,-2.03
931,-1.99
932,-1.98
933,-2.0
934,-2.01
935,-2.02
936,-2.03
937,-2.02
938,-1.99
939,-2.02
940,-2.01
941,-2.01
942,-2.01
943,-2.01
944,-2.03
945,-2.05
946,-1.99
947,-2.05
948,-2.01
949,-2.04
950,-2.03
951,-91.92
952,-109.63
953,-109.06
954,-108.44
955,-107.9
956,-107.34
957,-106.79
958,-106.31
959,-98.56
960,-2.11
961,-2.14
962,-2.16
963,-2.18
964,-2.2
965,-2.21
966,-2.25
967,-2.22
968,-2.24
969,-2.25
970,-2.29
971,-2.27
972,-26.15
973,-4.37
974,-105.11
975,-104.67
976,-104.09
977,-103.59
978,-103.07
979,-102.58
980,-102.05
981,-101.52
982,-101.05
983,-100.6
984,-100.01
985,-99.53
986,-99.05
987,-98.52
988,-98.03
989,-97.59
990,-97.11
991,-96.62
992,-96.11
993,-95.61
994,-95.42
995,-94.95
996,-94.51
997,-94.1
998,-93.71
999,-93.24
1000,-92.81
1001,-92.4
1002,-91.97
1003,-91.6
1004,-91.2
1005,-90.79
1006,-90.36
1007,-90.01
1008,-89.58
1009,-89.15
1010,-88.78
1011,-88.44
1012,-88.07
1013,-87.61
1014,-87.2
1015,-86.86
1016,-86.5
1017,-86.11
1018,-85.72
1019,-85.38
1020,-85.05
1021,-84.65
1022,-87.07
1023,-89.55
1024,-91.84
1025,-94.09
1026,-96.2
1027,-98.27
1028,-100.42
1029,-102.54
1030,-104.59
1031,-106.5
1032,-108.44
1033,-110.35
1034,-112.14
1035,-113.91
1036,-115.57
1037,-117.29
1038,-118.83
1039,-120.47
1040,-122.09
1041,-123.58
1042,-125.11
1043,-126.63
1044,-126.18
1045,-125.0
1046,-123.77
1047,-122.75
1048,-121.73
1049,-120.77
1050,-119.82
1051,-118.87
1052,-118.07
1053,-117.2
1054,-116.41
1055,-115.62
1056,-114.84
1057,-114.2
1058,-113.46
1059,-112.81
1060,-112.15
1061,-111.54
1062,-110.92
1063,-110.28
1064,-109.65
1065,-109.1
1066,-108.45
1067,-107.86
1068,-107.27
1069,-106.69
1070,-106.14
1071,-105.58
1072,-105.01
1073,-104.44
1074,-103.91
1075,-103.35
1076,-102.87
1077,-102.33
1078,-101.81
1079,-101.31
1080,-100.8
1081,-100.27
1082,-99.82
1083,-99.33
1084,-98.88
1085,-98.42
1086,-97.94
1087,-97.4
1088,-96.93
1089,-96.52
1090,-96.06
1091,-95.64
1092,-95.13
1093,-94.76
1094,-94.31
1095,-93.87
1096,-93.44
1097,-92.99
1098,-92.62
1099,-92.22
1100,-91.75
1101,-91.38
1102,-90.95
1103,-90.62
1104,-90.14
1105,-89.76
1106,-89.36
1107,-88.97
1108,-88.6
1109,-88.15
1110,-87.79
1111,-87.34
1112,-87.03
1113,-86.61
1114,-86.27
1115,-85.91
1116,-85.55
1117,-85.18
1118,-84.79
1119,-84.43
1120,-84.01
1121,-85.87
1122,-88.32
1123,-90.71
1124,-92.99
1125,-95.18
1126,-97.39
1127,-99.56
1128,-101.74
1129,-103.71
1130,-105.69
1131,-107.57
1132,-109.4
1133,-111.19
1134,-112.94
1135,-114.57
1136,-116.3
1137,-117.88
1138,-119.46
1139,-121.07
1140,-122.67
1141,-124.22
1142,-125.67
1143,-126.4
1144,-125.79
1145,-124.51
1146,-123.4
1147,-122.33
1148,-121.32
1149,-120.31
1150,-119.35
1151,-118.49
1152,-117.6
1153,-116.78
1154,-115.95
1155,-115.19
1156,-114.46
1157,-113.73
1158,-113.08
1159,-112.47
1160,-111.77
1161,-111.1
1162,-110.5
1163,-109.84
1164,-109.29
1165,-108.62
1166,-108.06
1167,-107.45
1168,-106.88
1169,-106.31
1170,-105.7
1171,-105.18
1172,-104.62
1173,-104.05
1174,-103.5
1175,-103.0
1176,-102.47
1177,-101.97
1178,-101.44
1179,-100.92
1180,-100.43
1181,-99.95
1182,-99.45
1183,-98.94
1184,-98.5
1185,-97.99
1186,-97.55
1187,-97.06
1188,-96.6
1189,-96.13
1190,-95.69
1191,-95.23
1192,-94.86
1193,-94.35
1194,-93.93
1195,-93.46
1196,-93.06
1197,-92.71
1198,-92.21
1199,-91.8
1200,-91.35
1201,-91.01
1202,-90.62
1203,-90.17
1204,-89.79
1205,-89.4
1206,-89.0
1207,-88.57
1208,-88.23
1209,-87.78
1210,-87.41
1211,-87.0
1212,-86.68
1213,-86.29
1214,-85.91
1215,-85.51
1216,-85.19
1217,-84.76
1218,-84.43
1219,-86.39
1220,-88.82
1221,-91.19
1222,-93.45
1223,-95.64
1224,-97.81
1225,-100.01
1226,-102.12
1227,-104.1
1228,-106.07
1229,-107.94
1230,-109.74
1231,-111.56
1232,-113.27
1233,-114.95
1234,-116.68
1235,-116.35
